id,source,text
31,0000 - cctns,"If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail."
32,0000 - cctns,"Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery."
33,0000 - cctns,"All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them. Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error."
34,0000 - cctns,"The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application."
35,0000 - cctns,"The System must be able to display several entities (cases, suspects) simultaneously."
36,0000 - cctns,"The interfaces must be made customizable or user-configurable to the extent possible. (e.g., the displayed columns in the table, move, resize, modify the appearance). Such configurations must be saved in the user profile."
37,0000 - cctns,"The System user interface must be suitable for users with special needs; that is, compatible with specialist software that may be used and with appropriate interface guidelines"
38,0000 - cctns,The System must provide End User and Administrator functions which are easy to use and intuitive throughout.
39,0000 - cctns,The System must allow persistent defaults for data entry where desirable. These defaults should include:
40,0000 - cctns,Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).
41,0000 - cctns,"Where the System employs a graphical user interface, it must allow users to customise it. Customisation should include, but need not be limited to the following changes:"
42,0000 - cctns,The user interfaces should be designed to make them user-intuitive.
43,0000 - cctns,The user interfaces of the system should comply with Standard ISO 9241.
44,0000 - cctns,"Providing text equivalents for non-text media objects: All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality."
45,0000 - cctns,"Making navigation self-descriptive: Navigation should be designed to help users understand where they are, where they have been and where they can go next. General guidance on achieving self-descriptiveness is given in ISO 9241-110."
46,0000 - cctns,Showing users where they are: Each presentation segment (page or window) should provide the user with a clear and sufficient indication of where he or she is in the navigation structure and of the current segment position with respect to the overall structure.
47,0000 - cctns,Offering alternative access paths: Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.
48,0000 - cctns,"Minimizing navigation effort: The number of navigation steps needed to reach a certain piece of content should be minimized as long as different mental models, navigation strategies and tasks of the user are taken into account."
49,0000 - cctns,"Splash screens should be avoided unless they provide useful content or feedback about the application state to the user. If a splash screen is used, a navigation option to skip it should be offered."
50,0000 - cctns,Vertical scrolling should be minimized. This may be done by placing important information at the top and providing links to information that is further down the page. Horizontal scrolling should be avoided wherever possible.
51,0000 - cctns,"Designing for input device independence: User interfaces should be designed to allow activation of controls by a variety of input devices. The ability to choose between different input devices for activating controls such as links, fields and buttons is important both for users who prefer a certain input mode, mobile users and users with disabilities. In general, device independence can be achieved if the functionality is operable via a keyboard."
52,0000 - cctns,Making user interfaces robust: User interfaces should be designed to be as robust as possible in the face of changing technology. This encompasses being able to present content containing newer technologies by older user agents as well as designing content to be usable with future technologies.
53,0000 - cctns,"Acceptable opening / download times: Application pages should be designed and implemented so that there are acceptable opening times and download times for the expected range of technical contexts of use (e.g. bandwidth between the application and the user). This is particularly important for frequently accessed pages or pages that are important for user navigation and exploration, such as the home page."
54,0000 - cctns,Minimizing user errors: Potential user errors as well as the effort needed to recover from errors should be minimized.
55,0000 - cctns,"Providing clear error messages: The content of error messages shown on the pages or special error pages should clearly state the reason why the error occurred and, if possible, actions the user can take to resolve the error. Users expect error messages to be in the same language as the user interface."
56,0000 - cctns,"Using appropriate formats, units of measurement or currency: When designing user interfaces for use by diverse groups, input and output of information elements such as currency, units of measurement, temperatures, date and time, phone numbers, address or postal codes should be designed so that they are usable."
57,0000 - cctns,"Making text resizable by the user: Text should be able to be resized by the user, using functions provided by the user agent or other appropriate means i.e. see ISO 9241-171."
58,0000 - cctns,Text quality: The quality of textual content with respect to spelling and grammar should be sufficient so as not to impede readability.
59,0000 - cctns,"Writing style: The reading and understanding of the textual content on the screen should be supported by suitable means, including the use of short sentences, the division of the text into shorter chunks or the presentation of content items in the form of bullet points."
60,0000 - cctns,"Supporting text skimming: Fast skimming of text should be supported by the provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences."
61,0000 - cctns,Readability of text: Text presented on the pages should be readable taking into account the expected display characteristics and spatial arrangement. ISO 9241-303 shall be consulted for screen text legibility requirements.
62,0000 - cctns,Distinguishable within-page links: Within-page links should be clearly distinguishable from other links that lead to a different page. EX. Within-page links are shown with dashed rather than solid underlines
63,0000 - cctns,Avoiding link overload: Text pages containing large proportions of links should be formatted so that the presence of links does not impede the readability of the text.
64,0000 - cctns,"Using familiar terminology for navigation links: Navigation links — particularly links representing the main navigation structure — should be labelled with terms that are familiar to the user, based on his/her general knowledge, prior experience in the application domain or experience of using other systems."
65,0000 - cctns,"Using descriptive link labels: The target or purpose of a link should be directly indicated by its label, avoiding generic labels such as “go” or “click here” except where the purpose of the link is clear from its context on the page or the labels have commonly understood semantics in the particular application domain. Using appropriate terminology specific to the user’s tasks and information needs is important for making the content easy to understand."
66,0000 - cctns,Marking links opening new windows: Links that open new browser windows or pop-up windows should be clearly marked.
67,0000 - cctns,"Distinguishing navigation links from controls: Navigation links should be clearly distinguishable from controls activating some action. Typical action types in user interfaces include manipulating application data, performing searches, communication actions, such as opening a new e-mail window or starting a chat function, and presentation-related actions, such as sorting a list of search results."
68,0000 - cctns,"Providing printable document versions: If a document is either too long, dispersed over several pages or in a specific layout that is not suitable for online reading, a printer-friendly version of the document should be provided that prints the content in a form acceptable to the user (e.g. in the expected layout, paper format, or orientation)."
69,0000 - cctns,"Use of “white space”: “White space” on a page i.e. space filled only with the background color should be used in such a way that it does not impair the visual skimming of the page. While white space is an important means of visually organizing the different content elements on a page, if the distance between the blocks of information displayed becomes too large, rapid skimming of the page can be impeded."
70,0000 - cctns,"Selecting appropriate page lengths The length of a page should be selected so as to support the primary purpose and use of the page. Short pages are generally more appropriate for homepages, navigation pages, or overview pages that need to be read quickly. Longer pages can be more appropriate when users want to read the content without interruptions or when the page needs to match a paper counterpart."
71,0000 - cctns,"Using colour: Colour should be used with care, taking into account human capabilities and restrictions in perceiving colour, and not as the only means of conveying information. Color should never be the only means of coding. Some users may have difficulties in perceiving certain colors or color combinations (color-blindness)."
72,0000 - cctns,"Using frames with care: If frames are used, care should be taken to avoid possible problems, for example, those involving the use of the back button, bookmarking of pages, or scrolling of information. When frames are used, it is important to title each frame, and to describe its purpose and how frames relate to one another other."
73,0000 - cctns,"Providing alternatives to frame-based presentation: If frames are used, an alternative way of presenting relevant information without frames should be provided. Providing alternative text-only pages: When style sheets and/or frames are turned off it should be possible for the user to read and understand the page; alternatively, the user should be provided with an equivalent alternative text-only page."
74,0000 - cctns,"Consistent page layout: Pages should be designed using consistent layout schemes, supporting the user in finding similar information at the same position on different pages. Overall layout schemes apply to all pages and are preferable when all pages have a similar structure. Frequently, however, different pages have different purposes and types of content. In such cases, pages can usually be grouped in different categories, using one layout scheme for each category consistently."
75,0000 - cctns,Placing title information consistently: Page titles should be placed in a consistent location on the different pages.
76,0000 - cctns,Linking back to the home page or landmark pages: Each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.
77,0000 - cctns,Providing a site map: A separate navigation overview such as a site map should be provided for application showing the structure of the site in an overview form.
78,0000 - cctns,"Consistency between navigation components and content: If navigation components (or overviews) are shown in conjunction with associated content, consistency between the navigation component and the content shown should be maintained by indicating in the navigation component (e.g. highlighting) the topic currently visible in the content area."
79,0000 - cctns,Placing navigation components consistently: Navigation components should be placed consistently on the pages or in the framesets in the pages of the application.
80,0000 - cctns,"Taking account of the users’ tasks and information needs: When providing different access paths or navigation structures for different user groups, the tasks and information needs of these user groups should be taken into consideration."
81,0000 - cctns,Making individualization and adaptation evident: It should be made evident to the user when individualization and/or adaptation are used.
82,0000 - cctns,"Making user profiles evident: If predefined user profiles or user-specified profiles are used for individualizing or adapting content, the profile currently used should be made evident. If profiles are used, it is important to provide users with information about this concept and its implications."
83,0000 - cctns,"Allowing users to see and change profiles: If user-specified profiles are used, users should be able to see, modify and delete that profile on demand."
84,0000 - cctns,The user interfaces of the system should follow the guidelines specified under www.usability.gov
85,0000 - cctns,The System must be available to users:
86,0000 - cctns,The planned downtime for the System must not exceed <xx> hours per <rolling three month period>.            The System is considered to be down if any user is unable to perform any normal System function and if this failure is attributed to any component of the System other than the workstation.
87,0000 - cctns,Unplanned downtime for the System must not exceed <xx hours/minutes> per <rolling three month period>.
88,0000 - cctns,The number of incidents of unplanned downtime for the System must not exceed <x> per <rolling three month period>.
89,0000 - cctns,"In the event of any software or hardware failure, it must be possible to restore the System (with inline synchronization) within no more than <xx> hours."
90,0000 - cctns,The System must provide adequate response times for commonly performed functions under both standard and peak conditions
91,0000 - cctns,"The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the storage capacity or number of cases in the system. In this context, performing a search means returning a result list. It does not include retrieving the records themselves."
92,0000 - cctns,"The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system. This requirement is intended to allow for rapid retrieval of frequently-used cases, on the understanding that frequency of use is typically correlated with recent use."
93,0000 - cctns,"The System must be able to retrieve and display within 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system. This requirement is intended to allow for cases where cases used infrequently are stored on slower media than more active records."
94,0000 - cctns,"The System be scaleable and must not have any features which would preclude use in small or large police stations, with varying numbers of cases handled."
95,0000 - cctns,The system should support multilingual interface
96,0000 - cctns,The system should be designed in manner that operational data is not lost in case of any                 failure of equipment or communication network.
97,0000 - cctns,The system should work even in an offline mode with the critical functionality
98,0000 - cctns,The system should be designed to have satisfactory performance even in Police Stations                 connected on low-bandwidth
99,0000 - cctns,The system should be implemented using Service Oriented Architecture (SOA) and have a                 modular design
100,0000 - cctns,The system should be developed on Open Standards
101,0000 - cctns,The system should be built on a common User Access and Authentication Service to                 ensure Single-Sign on for the end-user
102,0000 - cctns,The system should be developed for a centralized deployment and maintenance
103,0000 - cctns,The system should be developed to be deployed in a 3-tier datacenter architecture
104,0000 - cctns,The system should be designed to have a n-tier architecture with the presentation logic                 separated from the business logic that is again separated from the data-access logic
105,0000 - cctns,The system should be extensible to provide access to the interfaces through PDA’s and                 mobile data terminals
106,0000 - cctns,The system should adopt standardized formats and common metadata elements
107,0000 - cctns,The system should be designed for access through browser-based systems and must                 impose minimal requirements on the client device
108,0000 - cctns,The system must support multiple types of communication services for remote access
109,0000 - cctns,The system should have capability to support public access to a subset of data and                 functionality
110,0000 - cctns,The system should support multi-tier authentication where required
111,0000 - cctns,The system should support SSL encrypted connections
112,0000 - cctns,The system should support secure virtual private network connections
113,0000 - cctns,"The system should use HTTPS as the communication protocol, i.e., HTTP over an encrypted secure socket layer (SSL)"
114,0000 - cctns,The system should run on multiple browsers
115,0000 - cctns,The system should support selective encryption of the stored data
116,0000 - cctns,The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures
117,0000 - cctns,The system should ensure high standards of security and access control through:
118,0000 - cctns,The system should ensure high scalability and performance through:
119,0000 - cctns,The search results should be fetched from the database in batches of 10 or 20 maximum                     as configured within the application
120,0000 - cctns,The search should fetch only the fields that need to be displayed to the user. Only when                     the user clicks on a particular record to view its further details should a query be fired to                     fetch the additional details for this particular record only
121,0000 - cctns,A hierarchical cache should be configured and used for caching of results of most frequently used searches
122,0000 - cctns,Database Indexes should be applied on the key columns used for searching
123,0000 - gamma j,Software Requirements Specification (SRS)
124,0000 - gamma j,"This is the Software Requirements Specification for GAMMA-J’s Web Store. This Web Store is designed to allow new online store owners a quick and easy means to setup and perform sales and other core business over the internet. This document will outline all of the functions, capabilities and requirements for Version 1 of GAMMA-J’s Web Store. Version 1 is planned for implementation on a “plug and play” USB Key. Future versions will be based on other network appliances."
125,0000 - gamma j,According to GAMMA-J’s Functional Needs Statement this Web Store will:
126,0000 - gamma j,Web Store is a new system designed for users new to the online E-commerce. This will be a plug and play device with its own CPU and operating system. The Web Store will be a quick and easy means to setup and operate an online Web Store. The Figure 2.1 is a context diagram showing external system interfaces.
127,0000 - gamma j,System Administrator: Is generally the owner that takes care of maintenance for the Web Store system. The administrator will be in charge of assigning privileges of accounts. Suggested more than one individual can have administrator privilege to ensure advisability. Full documentation will be provided to the Administrator to assist with this process.
128,0000 - gamma j,Customer: A customer is an individual wishing to purchase inventory from GAMMA-J’s Web Store. The Web store will have a variety of clientele depending upon the inventory loaded on the Key. When creating a new account on Web Store it will default as a customer account. Later if the account needs to be upgraded the administrator can accomplish this via the administrator interface.
129,0000 - gamma j,"Web Store shall operate with the following internet browsers: Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5."
130,0000 - gamma j,"Web Store shall operate on an Intel based system with Slackware Linux 2.6 and Apache Web Server. The operating system is designed by the Yoggie Corporation. Although maintenance documentation will be supplied and the operating system will be tested, the developers of this Web Store are not responsible for the functionality of the operating system."
131,0000 - gamma j,The system shall use SQL based database to store inventory information.
132,0000 - gamma j,Must use a SQL based database. SQL standard is the most widely used database format. Restricting to SQL allows easy of use and compatibility for Web Store.
133,0000 - gamma j,Shall install online help for users via the web interface
134,0000 - gamma j,"Shall deliver Operations and Maintenance manual, Users Guide book, and Installation Instructions for the Administrator."
135,0000 - gamma j,Assume Yoggie will freeze the baseline of the USB system after delivery.
136,0000 - gamma j,"Customers will be able to create accounts to store their profiles, contact information, purchase history, and confirm orders. This is a high priority system feature. Security methods will ensure that customer accounts remain confidential and resistant to tampering."
137,0000 - gamma j,Functional Requirements
138,0000 - gamma j,"Customers will be able to create accounts to store their customer profiles, configure contact information, view their purchase history, and confirm orders. Customers will be able to register, log in, and log out of their accounts. Furthermore, Customer profiles will also include payment information, such as the ability to store credit card information, and address information."
139,0000 - gamma j,Inventory management will allow for the placement of products into multi-tiered categories. This is a medium priority system feature.
140,0000 - gamma j,"Products will be stored in multi-tiered categories; a category can contain sub categories or products. The inventory management will allow for administrators to update the categories, the products placed in categories, and the specific product details."
141,0000 - gamma j,Customers will be able to add and store products for purchase within the shopping cart. This feature is a medium priority system feature.
142,0000 - gamma j,"Customers will also be able to add products into the shopping cart. The shopping cart will clearly display the number of items in the cart, along with the total cost. The customer will also be able to add to or remove products from the shopping cart prior to checkout and order confirmation."
143,0000 - gamma j,Order confirmation will allow the customer to review their order after checkout prior to confirmation. This is a medium priority system feature.
144,0000 - gamma j,"Customers will be able to confirm the order after checkout. If the order is incorrect, the customer will be able to revise and update their order. The customer will then receive a confirmation email with the specific order details."
145,0000 - gamma j,The interface will be presented to the customer in a web browser. The interface must remain consistent among various web browsers and be intuitive to the customer. This is a medium priority system feature.
146,0000 - gamma j,"Customers will be presented with an unambiguous interface to assist in browsing the categories and products. Customers will be able to search for products matching their search criteria. The interface will be compatible with all major web browsers such as Internet Explorer, Mozilla Navigator, Mozilla Firefox, Opera, and Safari."
147,0000 - gamma j,The system will feature an API to allow customers to build custom plug-ins to be able to meet their needs. This is a high priority system feature as it ensures the flexibility of the system to be tailored to specific needs.
148,0000 - gamma j,The system will implement an Application Interface to allow for various plug-ins to interact with the system. The plug-in API will be well documented and specifications will be provided to plug-in developers.
149,0000 - gamma j,External Interface Requirements
150,0000 - gamma j,SI-1.1: The order database of WebOrder will communicate with the account system through a programmatic interface for the billing operations.
151,0000 - gamma j,"SI-1.2: Through programmatic interface, WebOrder will transmit information of items ordered by customers to the Inventory management system."
152,0000 - gamma j,CI-1: The WebOrder system shall send an e-mail confirmation to the customer that the items they ordered will be delivered to the shipping address along with tracking number.
153,0000 - gamma j,CI-2: The WebOrder system shall send an e-mail to System Administrator regarding any technical queries from customers or sales people.
154,0000 - gamma j,Quality Attribute Requirements
155,0000 - gamma j,Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.
156,0000 - gamma j,The system shall be able to handle 1000 customers logged in concurrently at the same time.
157,0000 - gamma j,The system shall be able to retrieve 200 products per second.
158,0000 - gamma j,The system shall be able to add product to shopping cart in less than 2ms.
159,0000 - gamma j,The system shall be able to search for a specified product in less than 1 second.
160,0000 - gamma j,The system shall be able to email customer and vendor in less than 1 second.
161,0000 - gamma j,The system shall be able to validate credit card in less than 2 seconds.
162,0000 - gamma j,The system shall be able to acquire shipping charges in less than 2 seconds.
163,0000 - gamma j,The system shall be able to restore 1000 records per second.
164,0000 - gamma j,The system will do periodic backups through a live internet connection.
165,0000 - gamma j,Security Requirements
166,0000 - gamma j,The system shall validate credit cards against fraud.
167,0000 - gamma j,The system shall encrypt all sensitive information via https.
168,0000 - gamma j,The system shall encrypt all customer data in database.
169,0000 - gamma j,The system shall auto detect IP DOS attacks and block IP automatically.
170,0000 - gamma j,The system shall detect consecutive failed login attempts.
171,0000 - gamma j,The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/
172,0000 - gamma j,Availability Requirements
173,0000 - gamma j,The system shall have an availability of 99.99%.
174,0000 - gamma j,Efficiency Requirements
175,0000 - gamma j,The system shall perform searches via Dijkstra's shortest path algorithm.
176,0000 - gamma j,"For returning customers, the system shall validate 'existing' credit card in system                                 after each log in."
177,0000 - gamma j,The system shall automatically compress image files that are too large in size.
178,0000 - gamma j,The system will employ on demand asynchronous loading for faster execution of pages.
179,0000 - gamma j,The system shall validate email address existence.
180,0000 - gamma j,Usability Requirements
181,0000 - gamma j,The system shall be easy to use
182,0000 - gamma j,The system shall be easy to learn
183,0000 - gamma j,"The system shall utilize help bubbles to assist managers, customers, and administrators"
184,0000 - gamma j,The system shall employ easy to locate buttons
185,0000 - gamma j,The system shall prompt customer with friend easy to read error messages.
186,0000 - gamma j,The system shall utilize consistent symbols and colors for clear notifications.
187,0000 - gamma j,Maintainability Requirements
188,0000 - gamma j,The system shall utilize interchangeable plugins.
189,0000 - gamma j,The system shall be easily updatable for fixes and patches.
190,0000 - gamma j,"The system shall create logs of all changes, updates, or fixes that are done to the site."
191,0000 - gamma j,The system shall be easy to upgrade.
192,0000 - gamma j,Portability Requirements
193,0000 - gamma j,The system shall be extremely portable via the usb drive.
194,0000 - gamma j,The system shall be easy to migrate or backed up via another usb drive.
195,0000 - gamma j,Testability Requirements
196,0000 - gamma j,The system should be able to run under debug mode.
197,0000 - gamma j,The system should be able to run test credit card transactions.
198,0000 - gamma j,The system should be able to run test shipping orders.
199,0000 - gamma j,The system should be able to create test environment of weborder system.
200,0000 - gamma j,The system hardware shall be fixed and patched via an internet connection.
201,0000 - gamma j,Yoggie shall coordinate on future enhancement and features with our             organization.
202,0000 - gamma j,The system shall adhere to the following hardware requirements:
203,0000 - gamma j,Business requirement:
204,0000 - gamma j,"Writers are able to take technical complexities and turn them into simple, understandable text. They will expertly produce the documentation products needed such as user manuals, Installation guides."
205,0000 - gamma j,One who programs computers or designs the system to match the requirements of a system analyst.
206,0000 - gamma j,A set of logically related functional requirements that provides a capability to the user and enables the satisfaction of a business objective.
207,0000 - gamma j,Functional requirements:
208,0000 - gamma j,A statement of a piece of required functionality or a behavior that a system will exhibit under specific conditions.
209,0000 - gamma j,Nonfunctional requirements:
210,0000 - gamma j,A description of a property or characteristic that the system should exhibit.
211,0000 - gamma j,Entire order will be delayed until all of the ordered items are in stock.
212,0000 - gamma j,A condition that must be satisfied or a state the system must be in before a use case may begin.
213,0000 - gamma j,A kind of nonfunctional requirement that describe a quality or property of a system.
214,0000 - gamma j,A statement of a customer need or objective or of a condition or capability that a product must possess to satisfy such a need or objective.
215,0000 - gamma j,Software requirement specification (SRS):
216,0000 - gamma j,A collection of functional and non functional requirements for software product.
217,0000 - gamma j,Customer must be able to access the web order system via a web browser with HTTPS.
218,0000 - gamma j,Customer account must already be registered.
219,0000 - gamma j,Customer must be logged-in on the system.
220,0000 - gamma j,The customer must be logged-in on the system.
221,0000 - gamma j,Customer must have item(s) in the shopping cart.
222,0000 - gamma j,Administrator account must already be registered.
223,0000 - gamma j,Administrator must be logged-in on the system.
224,0000 - gamma j,Administrator must be able to access the weborder system via a web browser with HTTPS.
225,0000 - gamma j,Sales Person account must already be registered.
226,0000 - gamma j,Sales Person must be logged-in on the system.
227,0000 - gamma j,Sales Person must be able to access the weborder system via a web browser with HTTPS.
228,0000 - gamma j,Gamma-J depends mainly on Fed-Ex for its tracking number and transportation needs to ship the orders. A separate module to generate the tracking numbers and having a transportation system will be considered in the future.
229,0000 - gamma j,Credit card expiry date =  The date on the credit card when it will get expired; format MM/YY
230,1995 - gemini,Gemini Software Requirements Specification
231,1995 - gemini,The document defines the operational requirements for Gemini Control System software. The goal of the SRS is to provide a functional tool for  guiding the development of controls and data acquisition systems in a manner consistent with their operation within the Gemini System.  It establishes both general criteria and specific functional requirements for software and controls design in the Gemini Project.
232,1995 - gemini,"It is oriented toward the developers of control and data acquisition systems, not toward the science user of the Gemini telescopes.  As such, it logically follows the Operational Concepts document, which addresses the control of the Gemini system from a more general  perspective. The impacts of the science requirements, as well as requirements of control system design are covered in this document."
233,1995 - gemini,"B.Monitoring. This is a special, read-only case of the observing mode that can be invoked on a subsystem basis. Under no circumstances should monitoring affect the performance of an ongoing observation"
234,1995 - gemini,"E.Testing. Test access allows full, direct control of any subsystem. All features of the subsystem are available in this mode. Under no circumstances should testing affect the performance of an ongoing observation."
235,1995 - gemini,Users of the system will be located at one or more facilities. These are referred to in general as Gemini 8m Telescopes operations facilities. The Gemini 8m Telescopes enclosure and Gemini 8m Telescopes control facility are referred to collectively as the Gemini 8m Telescopes site.
236,1995 - gemini,"These are sites with high bandwidth connections to the super sites. They have remote operations capability but at a reduced level. Will these high bandwidth connections be private or public, or doesn’t it matter? I don’t understand the different between a remote operations facility and a satellite site. Why does the satellite site not just connect directly to the telescope? — Steven."
237,1995 - gemini,"These are sites, generally located at existing observatories, universities, etc. that have some form of connectivity, perhaps via satellite sites and/or super sites, to the telescopes. Although they have remote operations capability, the link capacity will determine at what level."
238,1995 - gemini,User-level requirements
239,1995 - gemini,Each class of users has different needs of the system. The general requirements of each user class are summarized below.
240,1995 - gemini,"Definition Currently, operations staff includes 'night assistants' and staff of the 'operations group'. Depending on the operations implemented on the Gemini 8m Telescopes, they may become telescope operators, operations supervisors of the Gemini 8m Telescopes telescope, and instrument operators and have to overview the Gemini 8m Telescopes operation. These users will be very experienced users of the system. They will be very familiar with the Gemini 8m Telescopes and/or its instruments."
241,1995 - gemini,Purpose of work Operations staff will control the Gemini 8m Telescopes indirectly via a scheduler program or directly via commands. They will supervise telescope operation and will be able to advise observing astronomers on what they have to do to use telescope and instruments efficiently. They shall also monitor general performance and system safety.
242,1995 - gemini,"Privileges Operations staff shall have privileges to access all commands and maintenance procedures in case of problems. This includes direct control of physical units. However, they shall not have access to subsystems while these are in normal operation. If they need to access other parts of the system appropriate reconfiguration procedures have to be run."
243,1995 - gemini,"Definition Software development and maintenance are staff: •based either at the Gemini 8m Telescopes site or base facility, or •based at the Gemini 8m Telescopes remote operations facility, or •non Gemini staff from a contract company or from an associated Institute. These users will have a deep understanding of the way the Gemini 8m Telescopes software works."
244,1995 - gemini,Privileges Software development and maintenance staff need the highest privilege in order to be able to modify everything in the system. Nevertheless strict configuration control guidelines must be followed to prevent interference with ongoing normal operation.
245,1995 - gemini,Operation mode Software development and maintenance staff usually work at the test level  (see Section 3.2.1.3 on page 3-4) for the part of the software under test.  Other parts of the Gemini 8m Telescopes may also need to run in test mode  to support integration tests. This means that a number of commands are available  which allow the hardware concerned to be tested  (test commands) and are not accessible to observing astronomers.
246,1995 - gemini,"This section derives directly from Gemini 8m Telescopes program requirements  and speciﬁes the operational context, which is a direct consequence of the structure of the Gemini 8m Telescopes system. The Gemini 8m Telescopes operation has to cope with a complex environment produced by:"
247,1995 - gemini,they shall be able to take calibration or ﬂat ﬁeld exposures in parallel
248,1995 - gemini,"they shall be able to prepare for an exposure to start as soon as the telescope beam is switched back  to them (in this case, they are in a hot standby situation)"
249,1995 - gemini,"they shall be able to work; at all foreseen operation levels  (observing, maintenance, test) (see Section 3.2.1 on page 3-3)."
250,1995 - gemini,"Regardless of the status of an inactive instrument, it shall not be possible for any of its permitted  actions to adversely impact the active instrument"
251,1995 - gemini,"It should be a goal, but not a requirement, that the interface provide support for"
252,1995 - gemini,the Gemini standards will evolve over time as requirements and technology change
253,1995 - gemini,the evolution of Gemini standards might require existing visitor instruments  to rewrite or rework large areas of their control system
254,1995 - gemini,Observing model requirements
