id,text,is_ambiguous,ambiguity_type,ambiguous_words,source
112,"If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.",False,none,,ReqEval_NLP4RE_2020
113,"On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear .",False,none,,ReqEval_NLP4RE_2020
114,The braking curves shall ensure that the train complies with its speed requirements.,False,none,,ReqEval_NLP4RE_2020
115,If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point .,True,referential,,ReqEval_NLP4RE_2020
116,A train shall be supervised to its static and dynamic train speed profiles.,False,none,,ReqEval_NLP4RE_2020
117,"Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.",False,none,,ReqEval_NLP4RE_2020
118,The ETCS trainborne equipment shall transmit its own train identification to the RBC.,False,none,,ReqEval_NLP4RE_2020
119,If a train cannot stop at the proposed new target location it shall reject the request and keep the old target location.,True,referential,,ReqEval_NLP4RE_2020
120,The train may proceed unrestricted to the end of its movement authority.,False,none,,ReqEval_NLP4RE_2020
121,It is acceptable that only one mobile user involved in the group call may talk at any time.,False,none,,ReqEval_NLP4RE_2020
122,"If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls.",False,none,,ReqEval_NLP4RE_2020
123,"Where fax functionality is provided, it shall be possible to interrupt the fax to make or receive a high priority voice or data call.",True,referential,,ReqEval_NLP4RE_2020
124,"The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them.",True,referential,,ReqEval_NLP4RE_2020
125,"Where network services are chargeable, it should be possible for the network to provide information about call rates and on-going call charges.",False,none,,ReqEval_NLP4RE_2020
126,Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level.,True,referential,,ReqEval_NLP4RE_2020
127,An indication shall be provided to the driver as a reminder of the need to use the Push-To-Talk button on the handset if he wants to talk.,False,none,,ReqEval_NLP4RE_2020
128,It shall be possible for a driver to initiate Railway emergency calls (see section 13).,False,none,,ReqEval_NLP4RE_2020
129,"If the train moves out of the call area whilst the call is in progress, it will leave the call and an audible and visual indication of the loss of call shall be provided to the driver.",True,referential,,ReqEval_NLP4RE_2020
130,"Once the driver has accepted the standard point-to-point call, it shall be connected appropriately, eg if the driver has accepted the call by lifting the handset, then the call shall be routed to the handset.",False,none,,ReqEval_NLP4RE_2020
131,"In this case, the security device alerts the driver if the link has failed or if it is cancelled.",True,referential,,ReqEval_NLP4RE_2020
132,"It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage), such that local open channel communications are still possible.",True,referential,,ReqEval_NLP4RE_2020
133,"It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage), such that local open channel communications are still possible.",True,referential,,ReqEval_NLP4RE_2020
134,"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall: - provide a clear indication as to whether the handheld portable is activated or not; - provide an interface to allow the handheld portable to be recharged when not in use; - forward calls automatically to the handheld portable when the handheld portable is activated; - cancel any call forwarding to the handheld portable when it is deactivated; - allow the driver to override the call forwarding to the handheld portable.",False,none,,ReqEval_NLP4RE_2020
135,"When the MMI is switched on, the configuration shall be determined by the time elapsed since the MMI was last switched off: - less than t minutes - the MMI shall power up with the same configuration as when it was last powered down; - greater than t minutes - the MMI shall power up with default settings.",False,none,,ReqEval_NLP4RE_2020
136,"If directed network selection is implemented, input from the external device(s) shall initiate the network change regardless of the identity of the current network and how it was selected.",True,referential,,ReqEval_NLP4RE_2020
137,"Non leading drivers shall be able to indicate to the system their location in the train during the registration procedure (2nd driver, 3rd driver etc).",False,none,,ReqEval_NLP4RE_2020
138,Each type of equipment has slightly different requirements placed upon it in terms of EMC and climate.,False,none,,ReqEval_NLP4RE_2020
139,The design of the equipment shall make it possible to install it within a cab complying with the requirements of UIC fiche 651 concerning the layout of cab equipment5.,True,referential,,ReqEval_NLP4RE_2020
140,"If the call is a broadcast call, the user shall be informed that he cannot speak as part of the broadcast call.",False,none,,ReqEval_NLP4RE_2020
141,"Where a change of functional number is required, it shall be possible for the user to initiate the change.",True,referential,,ReqEval_NLP4RE_2020
142,It shall be possible for the user to find and display stored numbers and their information.,True,referential,,ReqEval_NLP4RE_2020
143,It shall be possible for the user to find and display stored numbers and their information.,True,referential,,ReqEval_NLP4RE_2020
144,The Operational radio is specified to allow its use in the operating environment experienced on the operational railway (eg shunting and maintenance).,False,none,,ReqEval_NLP4RE_2020
145,Controls shall be designed such that they are suitable for use by people wearing gloves.,False,none,,ReqEval_NLP4RE_2020
146,"It should be possible for the system to prevent certain types of users from registering functional numbers that they are not authorised to use, for example: - train number; - driver of train; - shunting team leader.",True,referential,,ReqEval_NLP4RE_2020
147,"It should be possible for the system to prevent certain types of users from registering functional numbers that they are not authorised to use, for example: - train number; - driver of train; - shunting team leader.",True,referential,,ReqEval_NLP4RE_2020
148,"As a minimum, the location information used by the EIRENE system shall be derived from that available from the network itself (eg current cell or base station serving the mobile).",True,referential,,ReqEval_NLP4RE_2020
149,"After the 30 second period, if the connection was unsuccessful, the system shall provide another audible and visual indication that it was unable to connect the call.",False,none,,ReqEval_NLP4RE_2020
150,"For post-incident analysis, it is important that the origination and reception of Railway emergency calls by mobiles is confirmed by a message sent to a ground-based central location (and also recorded in the on-train recording device).",True,referential,,ReqEval_NLP4RE_2020
151,"Throughout the duration of the shunting group call, it shall be possible for any member of the shunting group to speak to all other members of the group, using the PTT function (as described in sections 5.2.2.53, 6.2.2.12 and 7.2.2.20), except during transmission of the link assurance signal.",True,referential,,ReqEval_NLP4RE_2020
152,The shunting leader can then choose the moment when he takes or rejects the call.,False,none,,ReqEval_NLP4RE_2020
153,"In this case, the safety device will alert the driver only if the link assurance signal has failed or if it is cancelled.",False,none,,ReqEval_NLP4RE_2020
154,"The 300ms represents our current best estimate of the QoS figure, although this will need to be confirmed through user trials.",True,referential,,ReqEval_NLP4RE_2020
155,Each authority can decide whether it wishes to use synchronised BTSs.,False,none,,ReqEval_NLP4RE_2020
156,"The network shall terminate the ongoing VGCS/VBS call if it receives the 3-digit sequence ""***"" transmitted via DTMF signals.",True,referential,,ReqEval_NLP4RE_2020
157,"The network shall send the SET-PARAMETER message with the attribute ""D-ATT = T""1 [EN 301 515, Index [6]] to the mobile station of the talking subscriber if it receives the 3- digit sequence ""###"" transmitted via DTMF or the group call SETUP message2 from a controller terminal.",True,referential,,ReqEval_NLP4RE_2020
158,"When the network has detected the 3-digit DTMF sequence ""###"" transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate its recognition by playing a single DTMF grant tone ""#"" of duration of 100ms  5ms to be sent to that controller terminal only.",True,referential,,ReqEval_NLP4RE_2020
159,"When the network has detected the 3-digit DTMF sequence ""###"" transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate its recognition by playing a single DTMF grant tone ""#"" of duration of 100ms  5ms to be sent to that controller terminal only.",True,referential,,ReqEval_NLP4RE_2020
160,"The network shall send the SET-PARAMETER message with the attribute ""D-ATT = F""3 [EN 301 515, Index [6]] to the mobile of the talking subscriber only if it has received the 3-digit sequence ""#**"" transmitted via DTMF from all the talking controllers4.",True,referential,,ReqEval_NLP4RE_2020
161,"Many of the railway specific standards referenced are Pre-standards (eg [prEN 50155, ENV 50121, prEN 50125]) and should be re-examined for their applicability to the EIRENE system if any modifications are made to these standards in the future.",False,none,,ReqEval_NLP4RE_2020
162,Each of the other cabs on the train will be contacted using its functional number (registered by the other drivers prior to the establishment of the call).,True,referential,,ReqEval_NLP4RE_2020
163,"Upon registration, the mobile shall be accessible by calling the MSISDN or the Engine or Coach number with which it is associated.",False,none,,ReqEval_NLP4RE_2020
164,The Cab radio system shall provide a means for the driver to terminate established calls which he is authorised to terminate.,False,none,,ReqEval_NLP4RE_2020
165,"The DigitalHome programmable Appliance Manager shall provide for management of a home's small appliances, including lighting units, by allowing a user to turn them on or off as desired.",True,referential,,ReqEval_NLP4RE_2020
166,"Although the product produced under this document will be a ""prototype"" version, all modules and components of this prototype version shall be designed and implemented in such a manner that it may be incorporated in a fully specified commercial version of the DigitalHome System.",True,referential,,ReqEval_NLP4RE_2020
167,The DigitalHome System shall provide users with online documentation about the DigitalHome system installed in their home.,False,none,,ReqEval_NLP4RE_2020
168,"The FCP shall, if the NEFU ICP fails to send its ICP Ready signal, mask out that ICP, but continue to use the NE.16.",False,none,,ReqEval_NLP4RE_2020
169,"Each rate group has some number of tasks associated with it, and it also has a rate for those tasks.",False,none,,ReqEval_NLP4RE_2020
170,The enabled tasks are then unblocked at the rate given in its associated rate group.,True,referential,,ReqEval_NLP4RE_2020
171,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,True,referential,,ReqEval_NLP4RE_2020
172,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,True,referential,,ReqEval_NLP4RE_2020
173,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,True,referential,,ReqEval_NLP4RE_2020
174,There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking.,True,referential,,ReqEval_NLP4RE_2020
175,"The scheduler shall execute cyclic tasks, providing an API call to allow the application to block until its next iteration.",True,referential,,ReqEval_NLP4RE_2020
176,"The scheduler shall give tasks priority values according to their rate - the higher the rate, the higher the priority.",True,referential,,ReqEval_NLP4RE_2020
177,The scheduler shall provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task.,True,referential,,ReqEval_NLP4RE_2020
178,All tasks in rate groups and their corresponding schedules for all vehicle modes will be setup at system initialization.,True,referential,,ReqEval_NLP4RE_2020
179,Tasks in a rate group must suspend on a scheduler API call at the top of their execution loop.,False,none,,ReqEval_NLP4RE_2020
180,"For hardware exceptions and reserved exceptions, the FTSS shall make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred.",True,referential,,ReqEval_NLP4RE_2020
181,Messages are addressed with a global unique communication identifier that routes them to the appropriate virtual group (VG) and socket.,False,none,,ReqEval_NLP4RE_2020
182,This restriction does NOT apply to the ICPs since they are running as simplex VGs.,False,none,,ReqEval_NLP4RE_2020
183,The FTSS shall mask out a babbling NE or ICP within 40 milliseconds after it is detected.,True,referential,,ReqEval_NLP4RE_2020
184,Synchronous message passing sockets shall queue outgoing messages until they are transmitted at frame boundaries.,True,referential,,ReqEval_NLP4RE_2020
185,"Pipes may be opened by multiple receiving tasks if they are created with the broadcast"" capability; otherwise they may only be opened by one receiving task.""",True,referential,,ReqEval_NLP4RE_2020
186,"Communication services shall provide the capability to create pipe""s which ""broadcast"" their messages to all virtual groups.""",True,referential,,ReqEval_NLP4RE_2020
187,"If the broadcast option is used, each virtual group should open the pipe and read from it to avoid flow control problems.",True,referential,,ReqEval_NLP4RE_2020
188,The application software shall have the capability to reset a permanently failed channel to its initial recovery state.,True,referential,,ReqEval_NLP4RE_2020
189,Redundancy Management picks up where it left off in these attempts.,False,none,,ReqEval_NLP4RE_2020
190,"The absolute time of input will be associated with each sensed data item for its complete lifecycle, including permanent storage.",True,referential,,ReqEval_NLP4RE_2020
191,Each sensed data item will be qualified as to its certitude during the acquisition process.,False,none,,ReqEval_NLP4RE_2020
192,Sensed data input to the tool shall be validated with respect to its expected range of values.,False,none,,ReqEval_NLP4RE_2020
193,"The faults identified and their causes and sources, shall be saved to permanent storage for subsequent analysis.",False,none,,ReqEval_NLP4RE_2020
194,"The tool shall monitor the unit under diagnosis, either in real time or batch mode, for an indefinite period of time or until input data are no longer available, and log diagnostic results as they are determined.",True,referential,,ReqEval_NLP4RE_2020
195,"Selecting the ""Configure Diagnostics"" menu item of the main menu entitled ""File"" shall display the configuration window, making it the current window, modal to the main window.",True,referential,,ReqEval_NLP4RE_2020
196,Entering a file name shall cause the permanent storage of the modified parameters and their immediate use by the diagnostic operations after confirmatory responses by the user.,False,none,,ReqEval_NLP4RE_2020
197,"If the user does not confirm the request to save, it will not be performed.",False,none,,ReqEval_NLP4RE_2020
198,"If the user does not confirm the request to relay the modified parameters to the diagnostic processing immediately, it will not be performed.",True,referential,,ReqEval_NLP4RE_2020
199,"The subsystems window, condition window, and diagnostic information window shall display a title that indicates its specific location or absolute path in the navigation hierarchy of windows.",True,referential,,ReqEval_NLP4RE_2020
200,This set(s) of indicators shall summarize diagnostic indicators not currently appearing on the list above (below) it.,True,referential,,ReqEval_NLP4RE_2020
201,An indicator in the summary set shall be active if any similar indicator not appearing above (or below) it is active.,True,referential,,ReqEval_NLP4RE_2020
202,The third window in the hierarchy is the subsystems window and it can only be displayed by a user selection on the main window.,False,none,,ReqEval_NLP4RE_2020
203,The fourth window in the hierarchy is the condition window and it can only be displayed by a user selection on the subsystems window.,False,none,,ReqEval_NLP4RE_2020
204,This window can only be displayed by a user selection on the condition window or by a user selection on the diagnostic history window if it is displayed.,True,referential,,ReqEval_NLP4RE_2020
205,"In addition, some publishers may only allow their material to be served up through NLM's system at a certain interval after its publication.",False,none,,ReqEval_NLP4RE_2020
206,"In addition, some publishers may only allow their material to be served up through NLM's system at a certain interval after its publication.",True,referential,,ReqEval_NLP4RE_2020
207,The Archival Information Update function in Administration also submits dissemination requests to obtain DIPs needed to perform its update functions.,True,referential,,ReqEval_NLP4RE_2020
208,"During the development of the functional requirements for the NLM Digital Repository, it has become apparent that NLM will have several repositories - LocatorPlus, PubMed Central (covering journals), and the digital repository currently under investigation.",True,referential,,ReqEval_NLP4RE_2020
209,"It is possible that the initial NLM Repository may be composed of more than one electronic storage facility, especially in the early development of the repository.",True,referential,,ReqEval_NLP4RE_2020
210,"The NLM System Administration/Programming Access: Provides an NLM Administrative/Programming Level, ultimate rights to the system, required for its management, development, and for assigning appropriate rights to users.",True,referential,,ReqEval_NLP4RE_2020
211,"Access rights and conditions to materials and the directories/folders in which they are kept must provide for one or more of the following basic privileges, either alone or in combination:• Create/Write access• Edit access• Read access• Delete access.",True,referential,,ReqEval_NLP4RE_2020
212,Both an object and its related metadata may be embargoed in terms of public access.,False,none,,ReqEval_NLP4RE_2020
213,Access rights and conditions of use will be held for each digital object and its related metadata.,False,none,,ReqEval_NLP4RE_2020
214,"System must have the ability to search and display metadata, preferably in a user-conformable, human readable display as well as in its native format for machine harvesting and manipulation.",True,referential,,ReqEval_NLP4RE_2020
215,The Clarus program shall maintain information about requestors and their access to data and information.,False,none,,ReqEval_NLP4RE_2020
216,The Clarus program shall operate the Clarus system according to its published IT Security Plan.,True,referential,,ReqEval_NLP4RE_2020
217,The QChS shall be able to use historical environmental data in their quality checking algorithms.,True,referential,,ReqEval_NLP4RE_2020
218,The QChS shall be implemented to quality check new observation types as they become available.,True,referential,,ReqEval_NLP4RE_2020
219,The Clarus system shall process data as they are received.,False,none,,ReqEval_NLP4RE_2020
220,The QChS shall apply quality flags to data as they are received.,True,referential,,ReqEval_NLP4RE_2020
221,The SS shall record when it initiates actions.,False,none,,ReqEval_NLP4RE_2020
222,The Clarus system shall be able to publish environmental data at three times the volume rate that it collects it.,True,referential,,ReqEval_NLP4RE_2020
223,"It shall be possible to request that automatically generated migration metadata be stored in the converted iles (e.g., OS/Kernel type, original ARC name, ARC size, ARC digests, conversion timestamp, ARC record offset, ...).",False,none,,ReqEval_NLP4RE_2020
224,The IIPC members should provide us with the default METADATA they want to be included for migration.,True,referential,,ReqEval_NLP4RE_2020
225,The IIPC members should provide us with the default METADATA they want to be included for migration.,False,none,,ReqEval_NLP4RE_2020
226,"Software checkpoints (such as start-trans, end-trans) may be added during processing for managing atomic transactions (e.g., operations on a ile, these must start and complete to be accepted in the migration), except where operating system limitations would prohibit it.",True,referential,,ReqEval_NLP4RE_2020
227,"It shall be possible to perform a ""dry-run migration"".",False,none,,ReqEval_NLP4RE_2020
228,"To validate that the migration succeeded, arc_warc_verify will use the METADATA included in the newly generated WARC iles to match records with their corresponding ARC iles (see FR4, and FR5).",True,referential,,ReqEval_NLP4RE_2020
229,Enhance the WARC browser to display aggregated WARCs summaries in its UI.,False,none,,ReqEval_NLP4RE_2020
230,Enhance the WARC browser to display a manifest of WARC iles and their locations.,False,none,,ReqEval_NLP4RE_2020
231,"As a train approaches the limits of the coverage of the PLMN it is registered with, it will be necessary for it to register with the next PLMN providing coverage.",True,referential,,ReqEval_NLP4RE_2020
232,Each type of equipment has slightly different requirements placed upon it in terms of EMC and climate.,False,none,,ReqEval_NLP4RE_2020
233,"Where other data interfaces are implemented, they should be of the RS422 standard.",False,none,,ReqEval_NLP4RE_2020
234,"Upon switch on, once the radio is connected to a mobile network, it shall be able to receive all calls made using the MSISDN or appropriate group call number.",True,referential,,ReqEval_NLP4RE_2020
235,"In addition, the Operational radio is specified to allow its use in the operating environment experienced on the operational railway (eg shunting and maintenance), with the specifications in this section taking priority over those in section 4 where any discrepancy is identified.",False,none,,ReqEval_NLP4RE_2020
236,The SIM cards shall be fixed into the radio such that they can only be removed by the use of a tool.,False,none,,ReqEval_NLP4RE_2020
237,"A group call controller who wishes to start talking (except in the case of an originator, a joiner or a re-joiner speaking for the first time5) shall indicate his wish, for example by pressing the PTT button, whereupon the 3-digit DTMF sequence ""###"" shall be transferred.",True,referential,,ReqEval_NLP4RE_2020
238,"The terminal of the controller should receive a single DTMF grant tone ""#"" of duration 100ms  5ms sent by the network if it has detected the 3-digit DTMF sequence ""###"" and if the controller was not previously talking.",True,referential,,ReqEval_NLP4RE_2020
