id,text,label,label_binary
103,Users shall be able to request price alerts.,F,F
104,The system shall provide audit trails for all changes.,NF,NF
105,The system shall support gift wrapping options.,F,F
106,The system shall be compatible with legacy systems.,NF,NF
107,The system shall manage warehouse locations.,F,F
108,The system shall have fault tolerance mechanisms.,NF,NF
109,Users shall be able to schedule deliveries.,F,F
110,The interface shall load progressively.,NF,NF
111,The system shall support barcode scanning.,F,F
112,The system shall be configurable without code changes.,NF,NF
113,The system shall manage product variants.,F,F
114,The system shall gracefully degrade under heavy load.,NF,NF
115,Users shall receive low stock notifications.,F,F
116,The system shall comply with accessibility standards.,NF,NF
117,The system shall generate packing slips.,F,F
118,API endpoints shall follow RESTful conventions.,NF,NF
119,The system shall manage vendor relationships.,F,F
120,The system shall be deployable on cloud platforms.,NF,NF
121,Users shall be able to set preferences.,F,F
122,The system shall handle timezone differences.,NF,NF
123,The system shall process batch orders.,F,F
124,The system shall be secure against XSS attacks.,NF,NF
125,The system shall manage digital product downloads.,F,F
126,The system shall support incremental backups.,NF,NF
127,Users shall be able to view recently viewed items.,F,F
128,The system shall validate credit card numbers.,NF,NF
129,The system shall support subscription products.,F,F
130,The system shall be optimized for SEO.,NF,NF
131,The system shall manage shipping carriers.,F,F
132,The system shall provide real-time monitoring.,NF,NF
133,Users shall be able to request quotes.,F,F
134,The system shall comply with export regulations.,NF,NF
135,The system shall support split payments.,F,F
136,The system shall be energy efficient.,NF,NF
137,The system shall manage return policies.,F,F
138,The system shall have comprehensive logging.,NF,NF
139,Users shall be able to create accounts.,F,F
140,The system shall be resistant to brute force attacks.,NF,NF
141,The system shall display product specifications.,F,F
142,The system shall support load balancing.,NF,NF
143,The system shall manage tax exemptions.,F,F
144,The system shall have disaster recovery procedures.,NF,NF
145,Users shall be able to leave product questions.,F,F
146,The system shall minimize bandwidth usage.,NF,NF
147,The system shall support pre-orders.,F,F
148,The system shall be compliant with local laws.,NF,NF
149,The system shall manage promotional banners.,F,F
150,The system shall cache frequently accessed data.,NF,NF
151,Users shall be able to redeem gift cards.,F,F
152,The system shall implement rate limiting.,NF,NF
153,The system shall manage product warranties.,F,F
154,The system shall have automated health checks.,NF,NF
155,The system shall support affiliate programs.,F,F
156,The system shall be interoperable with ERP systems.,NF,NF
157,Users shall be able to manage subscriptions.,F,F
158,The system shall compress images automatically.,NF,NF
159,The system shall generate shipping labels.,F,F
160,The system shall validate data consistency.,NF,NF
161,The system shall support dropshipping.,F,F
162,The system shall have configurable caching policies.,NF,NF
163,Users shall be able to see order status.,F,F
164,The system shall be protected against CSRF attacks.,NF,NF
165,The system shall manage inventory reservations.,F,F
166,The system shall support content delivery networks.,NF,NF
167,The system shall allow merchandise returns.,F,F
168,The system shall have version control for content.,NF,NF
169,Users shall be able to set communication preferences.,F,F
170,The system shall optimize database connections.,NF,NF
171,The system shall support dynamic pricing.,F,F
172,The system shall have centralized configuration.,NF,NF
173,The system shall manage cross-selling.,F,F
174,The system shall support database replication.,NF,NF
175,Users shall be able to view detailed product info.,F,F
176,The system shall implement circuit breakers.,NF,NF
177,The system shall support upselling features.,F,F
178,The system shall have automated scaling policies.,NF,NF
179,The system shall manage product reviews moderation.,F,F
180,The system shall support blue-green deployments.,NF,NF
181,Users shall be able to contact sellers.,F,F
182,The system shall have request throttling.,NF,NF
183,The system shall support marketplace features.,F,F
184,The system shall be observable with metrics.,NF,NF
185,The system shall manage shipping zones.,F,F
186,The system shall support canary releases.,NF,NF
187,Users shall be able to view shipping options.,F,F
188,The system shall have automated failover.,NF,NF
189,The system shall support flash sales.,F,F
190,The system shall be compliant with SOC 2.,NF,NF
191,The system shall manage customer segments.,F,F
192,The system shall support feature flags.,NF,NF
193,Users shall be able to apply filters to search.,F,F
194,The system shall have distributed tracing.,NF,NF
195,The system shall support loyalty programs.,F,F
196,The system shall be resilient to network partitions.,NF,NF
197,The system shall manage email campaigns.,F,F
198,The system shall support graceful shutdown.,NF,NF
199,Users shall be able to see estimated delivery dates.,F,F
200,The system shall have comprehensive API documentation.,NF,NF
201,The product shall provide a login screen for user authentication.,F,F
202,The system shall store customer purchase history for future reference.,F,F
203,The application shall support user profile management.,F,F
204,The system shall calculate discounts automatically based on rules.,F,F
205,The product shall enable batch processing of transactions.,F,F
206,The system shall generate weekly inventory reports.,F,F
207,The application shall support multi-factor authentication.,F,F
208,The system shall allow configuration of notification preferences.,F,F
209,The product shall provide data export functionality.,F,F
210,The system shall support role-based access control.,F,F
211,The application shall enable document upload and storage.,F,F
212,The system shall process recurring payments automatically.,F,F
213,The product shall provide dashboard customization options.,F,F
214,The system shall integrate with external accounting software.,F,F
215,The application shall support workflow automation.,F,F
216,The system shall enable customer feedback collection.,F,F
217,The product shall provide audit log functionality.,F,F
218,The system shall support data import from legacy systems.,F,F
219,The application shall enable report scheduling.,F,F
220,The system shall provide API access for third-party integrations.,F,F
221,The product shall support electronic signatures.,F,F
222,The system shall enable automated email responses.,F,F
223,The application shall provide search history functionality.,F,F
224,The system shall support content versioning.,F,F
225,The product shall enable user activity tracking.,F,F
226,The system shall provide data archiving capabilities.,F,F
227,The application shall support template management.,F,F
228,The system shall enable automated inventory reordering.,F,F
229,The product shall provide notification management.,F,F
230,The system shall support custom field creation.,F,F
231,The application shall enable appointment scheduling.,F,F
232,The system shall provide backup and restore functionality.,F,F
233,The product shall support multi-tenant architecture.,F,F
234,The system shall enable document collaboration.,F,F
235,The application shall provide task management features.,F,F
236,The system shall support calendar integration.,F,F
237,The product shall enable form builder functionality.,F,F
238,The system shall provide reporting dashboard.,F,F
239,The application shall support file sharing capabilities.,F,F
240,The system shall enable automated testing integration.,F,F
241,The product shall provide comment and annotation features.,F,F
242,The system shall support webhook configuration.,F,F
243,The application shall enable user group management.,F,F
244,The system shall provide data visualization tools.,F,F
245,The product shall support custom reporting.,F,F
246,The system shall enable integration with CRM systems.,F,F
247,The application shall provide inventory tracking.,F,F
248,The system shall support document templates.,F,F
249,The product shall enable project tracking functionality.,F,F
250,The system shall provide customer communication tools.,F,F
251,The parse_process component decides what to do for the fault session. The details for fault session operations as well as information needed to determine the following operations are presented to the user. Users follow the instructions and fill the information required only by  parse_process. History of the current fault session is shown graphically to the user.,F,F
252,"User reward, notification",F,F
253,Logging in allows checkout,F,F
254,The system shall allow each visitor to export data metric archives for the portal,F,F
255,It must be possible to identify links to other documents or cases only at  indexing,F,F
256,Customizations or enhancements are incorporated into future product releases.,F,F
257,A user is in the process of reviewing WFD pressure-impact assessments for Lake Ohrid using DIS.,F,F
258,The system shall not respond to words from inter-personal conversation.,F,F
259,serials check-in system,F,F
260,"The 54 Waterway User wants to display the Riverbed Morphology of each certain Bottleneck of the river Danube using one uniform horizontal reference system. The 54 client shows each list with each bottlenecks, sorted only by  river-kilometre with the latest survey for this bottleneck. This list can be sorted only by  each available fields and it is also possible to change the content,  to show each surveys sorted only by  date  to search one bottleneck with each surveys",F,F
261,Content withdrawal from ELG only by  System Administrator,F,F
262,Add to or update index information,F,F
263,System queries manager for machine ID number.,F,F
264,Inventory Costing method is FIFO but shall have flexibility to alter method.,F,F
265,"Ability to automatically or manually number requisitions with the ability to restart the
  numbering process with each fiscal year.",F,F
266,"The system shall provide scheduling capabilities directly with Microsoft
  Outlook/Exchange.",F,F
267,Ability to track parcel history on-line,F,F
268,Report the Reservation from use amounts associated with each surface water.,F,F
269,Users with admin or staff privilege are allowed to register new users/ admins/staff,F,F
270,Ability to balance cash drawers only at  each point in time.,F,F
271,"Listing of current code enforcement actions with date, responsible official, and status",F,F
272,Ability to have multiple years with effective dates (new year records) with appraisal and value rolls to the next years.,F,F
273,The system shall shall provide for Message Digest verification requests for each given unit only by  operator  command.,F,F
274,This shall initiate each new project development cycle within the system.,F,F
275,Ability to create graphs and charts via the GIS and CAMA data.,F,F
276,The software must include the following:  report name  pages in the report  report status  report date  each notes attached  whether report has been checked  user-defined reference number  topic,F,F
277,Ability to Connect Related Projects/Phases of Projects,F,F
278,The application shall allow users to move selected requirements or document sections within the document,F,F
279,Supports multiple settlement periods,F,F
280,The Data Quality web part shall be similar to what described in section (5.14.2). SCAD shall provide each content document to cover this and other sections of the website.,F,F
281,Ability to provide both cash register and multiple cash drawer functions.,F,F
282,Organise Computation Module Palette,F,F
283,The system shall allow the admin to assign each interview date for the learner.,F,F
284,"The system shall allow Admin, Manager and User to login into the system",F,F
285,The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.,F,F
286, Add each new flight leg instance.,F,F
287,Ability to hide or archive grant information only after  user-defined period without activity.,F,F
288,"FR-4. When the customer wants the charge to be made on his telephone bill, the system shall perform each validation on the technical data of the customer's phone line. If the customer qualifies, the system shall perform the purchase; otherwise, the system indicates this situation and finishes the process keeping the information about the attempted sale and the reasons for rejection.",F,F
289,"Search results can be viewed on each map. On the map, the relevant and closest restaurants according to the users position are shown",F,F
290,"System shall display each option for user to view detailed rights and reproductions information associated with each digital image. Information shall minimally include name of rights holder, contact info for rights holder, and copyright/copyleft/open source/creative commons specifications",F,F
291,The system shall provide browsing options to see product details.,F,F
292,"If the product manager does not provide each price for the part, the system must not let manager finish this step. (The system must display each suitable message).",F,F
293,Sell tickets for trips on specific dates and times,F,F
294,The system shall provide each Web service-based API to search and access core 29 resource metadata,F,F
295,A web-accessible tool to allow questions in the game sequence to be updated only by  each game administrator.,F,F
296,The documents uploaded to document library for each release shall be linked to publication release.,F,F
297,Customer shall be able to function the air quality only through  traditional interfacing.,F,F
298,Reports on residential vs. commercial permit valuation on each user defined time period.,F,F
299,The system shall allow the learner to take tests according to the desired level.,F,F
300,The system must provide functionalities to store (and then to retrieve) data output only by  filters only at  each time in the processing pipeline. Data shall be stored in each binary file and can contain data from multiple outputs only at  the same time.,F,F
301,"Ability to temporarily set item to each new location, and later revert to original location.",F,F
302,"Ability to view two or more records simultaneously, aligned either horizontally or vertically. Ability to copy and paste between records.",F,F
303,System shall display 20 field-based or browse results per page only by  default,F,F
304,Show Administrator Cockpit,F,F
305,66 shall be able to take into the account the distance (Strength of network connection) between Data Source where data resides and the Computation Node where the computation occurs. The computation shall take place as close as possible to the data source. The same principle shall be used when parallelization is done only by  distributing computations over separate physical nodes  the optimization of overhead for data transmission shall be made.,F,F
306,System Notification,F,F
307,FAQs have the following fields:  Question  Answer,F,F
308,"Ability to build each ""case file"" of data, pictures, and other documents each of which  each relate to each specific function (e.g., rezone, hearing, transfer of ownership, etc.) - System shall have the ability to attach images to permits or other record data",F,F
309,"FR-3. The system manages the information of different programming packages, as well as the necessary characteristics to enable the customer to purchase it",F,F
310,System shall allow user to add and subtract browse search facets into the current or past browser search result,F,F
311,Login allows the user to set up each connection to KPS and start each session with KPS.,F,F
312,"The software must indicate clearly the existence of problem documents, e.g. those with unacceptable images or colours.",F,F
313,The system shall allow user to upload 1 or more document related to the fundraising,F,F
314,"System shall allow user to refine current search results only by  modifying the search criteria, the result being each subset of the original search results",F,F
315,The user shall be able to view the plot dynamically (realtime) or statically (offline).,F,F
316,Show each Cluster Node list,F,F
317,The system shall display the village,F,F
318,"Order records include change history, including date and staff person making the change.",F,F
319,The system can be deployed in each SaaS (Software as each Service) model.,F,F
320,"Requisition Report, which can be sorted only by  buyer",F,F
321,"The software must have the ability to support and store only up to  5 different user definable
  version of the budget for comparison only during  the budget process.",F,F
322,The software system must provide each RESTful API for curating data in the database,F,F
323,Users shall be required to log in to the E-system for each operations.,F,F
324,"The software must feature the ability to undertake the following functions: , panning, scrolling, rotation, zooming of part and whole images, full support for the VF (Verification Framework)",F,F
325,Ability to move from volunteer status to regular employee.,F,F
326,"Data dashboard can be set up with color coded levels and active reminders when levels fall
  below each set criteria. criteria and color coding can be modified as needed only by  measure.",F,F
327,Ability to be alerted to pay invoices only by  discount date or due date.,F,F
328,Create Computation Task,F,F
329,Retrieve password,F,F
330,The application shall allow users to open each document from each chosen file.,F,F
331,Register for each course,F,F
332,Ability to code PP accounts as exempt.,F,F
333,The system shall allow user to select the order from the order history.,F,F
334,The software shall provide code each of which  emulates each network adapter comparable to the Intel Pro/1000 T.,F,F
335,"The system shall allow employees to view the owner of any
  product. each employee shall be able to contact the correct owner in one phone call x% of the time.",F,F
336,"Ability to check on the status of each check (e.g., outstanding, voided, cancelled, stale-dated, etc.).",F,F
337,"Support for containerised tools, stored on each cloud container registry hosted only by  each third party",F,F
338,"Ability to flag each item to print each routing slip only at  next check in. Especially for routing periodicals to specific staff members. Routing slip shall print on check in. Include title, check in date, staff name, and department.",F,F
339,The system shall display  payment methods for payment.,F,F
340,"Ability to adjust cap rate, vacancies, and expenses only by  building type, size, age (should be table driven).",F,F
341,Ability to create each configurable payment schedule,F,F
342,The system shall allow meeting inviter to update and delete meeting invitation.,F,F
343,Supports address verification/standardization against each master table,F,F
344,Percent of gross,F,F
345,Install each extension,F,F
346,SCAD website logo shall be each clickable image. Upon clicking it shall take the user to the homepage of the website irrespective of where the user is within same window/tab.,F,F
347,Distance from Data,F,F
348,"The application shall allow users to import each MS Excel table of requirements preserving section headings, levels, unformatted text description of requirements and values of custom attributes",F,F
349,Ability to enter and report overtime only by  subcategories.,F,F
350,"Ability to flag each customer as 'inactive.""",F,F
351,Ability to produce positive pay file for bank upload.,F,F
352,View Students & Topics,F,F
353,"Ability of non-technical end-users the means to customize reports only through  each filing
  function",F,F
354,Staff can freeze and unfreeze holds for patrons without requiring each patron identification number (PIN).,F,F
355,The system must allow the product manager to edit the associated drawing to the part in case of modifying.,F,F
356,"The system shall provide marketing with customer navigation
  information. This information shall allow marketing to determine what information prompts each purchase and help target potential customers more effectivelv. This shall increase annual revenue only by  $x in additional sales.",F,F
357,Provide read-only access to selected authority files only through  the public interface.,F,F
358,User can add each Part which is to be produced as part of each Work Order,F,F
359,"Ability to set up ""uncontrolled"" or tracked budgets (i.e., salary).",F,F
360,ACMELIS shall send each e-mail advising users of the expiry date of each books loan period. The notification shall be issued two days before the books return date.,F,F
361,Solution supports unlimited number of GIS layers,F,F
362,The system shall display the project form each of which  is needed to be filled only by  the user.,F,F
363,"The GUI shall also issue each audible alarm, and the icon shall be different from the okay status for each of which  device",F,F
364,Ability to make post-closing adjustments only at  each point only during  the closing period.,F,F
365,The system shall display  error messages to the users,F,F
366,The system shall post the selected data only by  the user to the enterprise database.,F,F
367,The tool shall auto-populate and/or provide functionality for the user to reference the verification source for each species habitat record.,F,F
368,Load buttons dynamically,F,F
369,"Identify reason for leave (i.e. birth of child, own illness, military, FMLA, etc.)",F,F
370,"This component shall wait only until  the user selects either to return to the main menu or to exit the game. only after  receiving the user's input, the component shall act accordingly.",F,F
371, In case signal or GPRS failed the survey information stored in Java RMS.,F,F
372,The 27 application software shall update and read database tables to support system operations.,F,F
373,Ability to correct and reprint invoices and statements.,F,F
374,"Provide for the ability to combine consumption usage from multiple meters for usage
  calculations.",F,F
375,Validation in place to flag each 2nd inspection request with the assessment year.,F,F
376,"Calendar to track leave (easily see how much time has been used instead of having to go to
  Big Ben to see it)",F,F
377,The system shall allow administration tasks to be decentralized.,F,F
378,Ability to issue items with each assigned work order number to each issue.,F,F
379,"Ability to replace each check each in one step (void original, assign new number, etc.) even in prior year.",F,F
380,System provides ability for patrons to link their records in each way each of which  grants privileges,F,F
381,Enter Project Details,F,F
382,Allow title each of which  has untriggered holds to be checked out without staff intervention.,F,F
383,Descriptive information about platform for each audiences,F,F
384,"The admin shall be able to update, add and delete spending guidelines.",F,F
385,Ability to provide for multiple salary schedules.,F,F
386,The MDT shall allow each user to save each EBTS file each of which  has had minutiae deleted from the originally opened file due to user interactions or deviation filing.,F,F
387,"Ability to maintain discrepancy file only by  vendor, stock number, item, dates, control number,
  purchase order number (receiving exception file).",F,F
388,User actions shall be logged to the extent they are needed for the KPI and success criteria validation.,F,F
389,"MARC bibliographic and authority records can be imported and exported, singly and in batch, each fields or selected fields, to and from vendors including OCLC.",F,F
390,Whether or not the system shall require password aging shall shall be controllable only by  the System Administrator.,F,F
391,Teacher shall be able to update action taken,F,F
392,"System records testing and hiring process requirements (process - not applicant specific),
  including: Steps required (written test, appraisal of promotability, rating from record, etc.)
  Order of testing steps
  Dates of tests
  Locations of tests
  ""Testing step shall be specified as general and applicable to each of many  positions (typing test) with
  expiration dates.""
  ""General steps (typing test) shall be skipped for individual applicants each of which  have passed this
  step for another application process.""",F,F
393,Account Modification 3.6.3.1. Users are not able to modify each aspect of their account only after  creation (it shall be nice but not needed),F,F
394,An entry must belong to each group to be created,F,F
395,The administrator shall have the ability to create and add each new user to the system.,F,F
396,Supports user managed dynamic sorting of the displayed data and reports,F,F
397,The page shall display charts and graphs related to the category selected.,F,F
398,"Support for content, for which each API is provided on ELG",F,F
399,Ability to add or modify grant information online with audit trail of each changes.,F,F
400,Support for bank reconciliation of both open and closed months,F,F
401,Able to generate vote result report for selected task,F,F
402,"The fight and move functions of CFM are called to see if each monsters attack the player, or move from room to room. each description of each fighting and its result is given to the user.",F,F
403,Ability to provide for budget control only by  checking available funds before posting.,F,F
404,Ability to accommodate sales tax calculations,F,F
405,"Req(24) each essential requirement is that, if the network crashes and the communications are later recovered, each change in the data referred to resources, alerts and emergencies, incidents and actions shall be updated only at  the respective command centres.",F,F
406,"The system shall suggest each list of best-matched projects each of which  are suitable for each particular student based on their title preference, skill set (knowledge domain on research area, programming languages, frameworks etc.) and/or supervisor.",F,F
407,Ability to track each days each of which  each accruals were used only by  dates.,F,F
408,"Ability to change account status to off or inactive, but with past due amount.",F,F
409,Information on the uploader and the uploaded content shall be immediately reported only by  the system to the power users and administrator only after  upload/changes made.,F,F
410,"The ability to associate permitted quantities, pumpage quantities, and use code data only at  the well level.",F,F
411,"Ability to do forecast wages and benefits cost only by  global changes to percentages, fixed amount, or
  formula changes to current costs.",F,F
412,"Ability to define cycle count items, generate cycle count sheets and enter cycle counts entries.",F,F
413,The program must allow the user to view each graphs adjacency matrix.,F,F
414,System shall be able to save the generated graphical password.,F,F
415,Internal messaging system for sending homework and questions/answers between students and teachers with the option of attaching files.,F,F
416,Manage restaurant owners In order to keep track of the restaurant owners  each administrator  shall be able to manage the restaurant owners,F,F
417,The program must allow the user to create each network from random data,F,F
418,An entry must be selected before it is duplicated,F,F
419,The system shall display the notes for each Requirement Validation technique.,F,F
420,"System shall allow two versions of each art objects images to be overlayed atop one another (for example, master object images on technical images), with the ability for the user to cross-fade or wipe from one image to another",F,F
421,This help page shall be accessible from each other pages.,F,F
422,Configurability: Spatial filter coefficients.,F,F
423,The system shall alert primary caregivers when medications are not dispensed only after  three reminders.,F,F
424,The system shall provide for each specific delay between the message change on each sign and the message change on the next downstream sign.,F,F
425,"Ability to track turnover data, identifying reasons for turnover (e.g. resignation, transfer,
  promotions.)",F,F
426,Ability to create new tax parcel without each parent parcel.,F,F
427,The system shall enable user to enter the search text on the screen.,F,F
428,System shall allow user to display bibliographic lists of works cited and history of scholarship,F,F
429,Upload and download vector maps,F,F
430,The system shall compare the sign to signs each of which  exist in the database.,F,F
431,Ability to validate locally-created authority records against the Library of Congress Name and Subject Authority Files.,F,F
432,The tools shall not clip or select out base data provided in the ArcGIS Map Document each of which  is not part of the Species Habitat Database. The user shall be responsible for acquiring and copying base GIS data to the field work machine.,F,F
433, is each result processing web software. So the main art of this product is to enter data of results and publish.,F,F
434,This web part shall be added to the default page in Statistics section and shall display the latest 5 or must read 5 releases from the current theme in each subthemes in two tabs.,F,F
435,The 54 System Administrator or the 54 Waterway Administrator wants to logout from the 54 System. Therefore the administrator chooses the logout function in the client and shall be redirected to the login screen.,F,F
436,"Reservations are organized in chronological order, where the longeststanding shall take the highest and the newest the lowest priority.",F,F
437,Ability to create user-defined screens to track pertinent information to the County,F,F
438,The system shall display the score for each individual student when the game ends.,F,F
439,There shall be each option to turn off the audible alarm permanently or temporarily for each given period.,F,F
440,The 54 System Administrator wants to manage the roles and the privileges. Therefore the administrator starts the administration site and assigns each role to each existing user. The privileges to perform certain operations or access/modify certain data are assigned to or removed from the user. It is currently planned each of which  there shall be three roles in the system,F,F
441,The system shall allow the user to view and change the details in each Requirement Validation principle.,F,F
442,System supports notifying applicants only by  e-mail or US mail of the job opening.,F,F
443,Ability for 1099 status for individual invoices to be changed only after  invoice has been posted.,F,F
444,Ability to support multiple banks/bank accounts and designate deposits only by  charge code.,F,F
445,Integers shall be accepted as input when each user searches only by  price or destination. If the system receives each invalid input the user shall be informed and prompted to insert each accepted input. RAT: In order for each user to search with valid input.,F,F
446,The system shall step only through  the instructions in the most basic sequence.,F,F
447,The system shall prompt the assigned ROW Engineer to review the starter kit for completeness.,F,F
448,"Ability to create each Deposit Details Report only by  day (with subtotals) - needed to reconcile daily
  bank statements.",F,F
449,The electronic unit shall provide control of the system equipment operation in both manual and  mode (scanning),F,F
450,The system displays the choices to the Reader.,F,F
451,Teacher shall be able to display list of warning letters generated,F,F
452,"The software must print pertinent information about each employee's current pay on the payroll check
  and check 90, including each pay types and deductions.",F,F
453,"System queries Sales person for information on customer such as customer ID, customers name, telephone, fax and address.",F,F
454,The system shall display different categories of expenses.,F,F
455,The tool shall reconcile data each of which  has been flagged obsolete (no previous mention of this term) this needs more discussion in section 4.4.,F,F
456,"A user wants to look only at  the FAQ, Time Table, and Conference/Seminar Info.",F,F
457,"The reservation shall be valid for each copy of each particular book. For example, if there are five copies of Don Quixote, each one of these copies shall be considered to be reserved.",F,F
458,"Support for check/warrant reconciliation, including:Auto-processing of files to/from the bank
  Payables/Payroll check writing history files
  Can manually indicate each of which  checks have cleared",F,F
459,Email/Fax Address,F,F
460,"This component shall display each question, and then wait only until  the user chooses each answer.",F,F
461,System provides functions to research account details and perform account adjustments,F,F
462,Ability to process lottery credits as credits,F,F
463,Financial Adjustments,F,F
464,Transfer processing/screening. Ability to hold review codes in CAMA system (mirroring PAD system criteria established only by  DOR). Download is done annually to State DOR with final assessments (after BOR adjournment),F,F
465,"Ability for registered external users to save information, log off, and resume only at  each later time.",F,F
466,The fault session interactively guides the user throughout each trouble shooting session.,F,F
467,1. Items provided to the 26 shall be stored in the Access Database.,F,F
468,"Reporting on assets only by  building, including each building contents",F,F
469,The system shall be able to disable the select each checkbox if table show no data,F,F
470,Public portal accessible only by  each end-user with each Internet connection,NF,NF
471,The system shall support industry standard virtualization platforms.,NF,NF
472,"This shall be done via Drupal, with Drupal storing the username and password in the MySQL database with encryption. each other information about specific users, tasks, and money shall also be stored in the MySQL database.",NF,NF
473,Ability to send encrypted and/or authenticated email messages directly from the system.,NF,NF
474,"System supports transactional communication with external services, for example providing APIs to read and update patron records, bibliographic records, item records, etc.",NF,NF
475,"System can automatically generate ""no thank you"" letters to non-hires when each position is
  filled.",NF,NF
476,The system shall permit only authorized users to update the databases.,NF,NF
477,"In searches, enable 'see' and 'see also' results and give one-click access to related records, with ability to return to previous record.",NF,NF
478,The 66 shall be available online using ordinary webbrowser. It shall have each single point of contact and each convenient user interface,NF,NF
479,"Ability to limit access to general ledger data only by  each element in the chart of accounts based
  upon security set-up.",NF,NF
